,CVE_ENT,CVE_MUN,NOM_MUN,IDMUN,Y,IDH,IRS,c_i,Pob2010,Mun_cov
0,1,2,Asientos,1_2,1,0.662,-1.01448,28741.54607,45492,Asientos
1,1,11,San Francisco de los Romo,1_11,NA,0.717,-1.3023,22598.61869,35769,San Francisco de los Romo
2,1,7,Rinc√≥n de Romos,1_7,1,0.715,-1.25519,31056.43715,49156,RincÛn de Romos
3,1,8,San Jos√© de Gracia,1_8,NA,0.694,-1.09728,5334.23181,8443,San JosÈ de Gracia
4,1,5,Jes√∫s Mar√≠a,1_5,2,0.723,-1.2965,62920.30628,99590,Jes˙s MarÌa
5,1,9,Tepezal√°,1_9,NA,0.675,-1.03717,12426.1129,19668,Tepezal·
6,1,1,Aguascalientes,1_1,21,0.789,-1.55848,503545.6703,797010,Aguascalientes
7,1,6,Pabell√≥n de Arteaga,1_6,3,0.74,-1.34386,26448.13597,41862,PabellÛn de Arteaga
8,1,10,El Llano,1_10,1,0.661,-0.88536,11895.40643,18828,El Llano
9,1,3,Calvillo,1_3,3,0.67,-1.10194,34202.76836,54136,Calvillo
10,1,4,Cos√≠o,1_4,1,0.7,-1.13314,9503.43656,15042,CosÌo
11,2,5,Playas de Rosarito,2_5,NA,0.744,-1.09396,67691.32826,90668,Playas de Rosarito
12,2,3,Tecate,2_3,2,0.776,-1.23352,75464.02004,101079,Tecate
13,2,4,Tijuana,2_4,23,0.762,-1.3456,1164435.236,1559683,Tijuana
14,2,2,Mexicali,2_2,20,0.781,-1.54794,699419.8205,936826,Mexicali
15,2,1,Ensenada,2_1,4,0.745,-1.06177,348516.1216,466814,Ensenada
16,3,8,Los Cabos,3_8,25,0.794,-1.02903,205881.8947,238487,Los Cabos
17,3,9,Loreto,3_9,NA,0.734,-0.83279,14449.63941,16738,Loreto
18,3,3,La Paz,3_3,18,0.816,-1.46272,217436.0813,251871,La Paz
19,3,1,Comond√∫,3_1,9,0.737,-1.03934,61134.28513,70816,Comond˙
20,3,2,Muleg√©,3_2,NA,0.715,-0.79084,51032.14148,59114,MulegÈ
21,4,7,Palizada,4_7,NA,0.686,-0.33717,8056.517132,8352,Palizada
22,4,2,Campeche,4_2,18,0.797,-1.38408,249841.7409,259005,Campeche
23,4,10,Calakmul,4_10,1,0.589,0.5373,25930.9499,26882,Calakmul
24,4,3,Carmen,4_3,22,0.775,-1.06758,213271.9826,221094,Carmen
25,4,4,Champot√≥n,4_4,11,0.679,-0.49785,80083.82529,83021,ChampotÛn
26,4,11,Candelaria,4_11,NA,0.63,0.43105,39736.61,41194,Candelaria
27,4,1,Calkin√≠,4_1,3,0.731,-0.44508,51018.82078,52890,CalkinÌ
28,4,8,Tenabo,4_8,NA,0.706,-0.27312,9391.553017,9736,Tenabo
29,4,9,Esc√°rcega,4_9,5,0.67,-0.50073,52267.04074,54184,Esc·rcega
30,4,6,Hopelch√©n,4_6,1,0.647,-0.05239,36440.49901,37777,HopelchÈn
31,4,5,Hecelchak√°n,4_5,1,0.736,-0.34684,27304.57064,28306,Hecelchak·n
32,5,35,Torre√≥n,5_35,4,0.795,-1.57751,542213.1243,639629,TorreÛn
33,5,22,Nava,5_22,NA,0.734,-1.35598,23674.54905,27928,Nava
34,5,20,M√∫zquiz,5_20,2,0.735,-1.32987,56655.1422,66834,M˙zquiz
35,5,10,Frontera,5_10,4,0.767,-1.56139,63759.71094,75215,Frontera
36,5,26,Progreso,5_26,NA,0.687,-0.9712,2944.060042,3473,Progreso
37,5,9,Francisco I. Madero,5_9,2,0.719,-1.21376,47196.51221,55676,Francisco I. Madero
38,5,33,San Pedro,5_33,1,0.713,-1.0525,87016.34418,102650,San Pedro
39,5,12,Guerrero,5_12,NA,0.652,-0.76852,1772.539461,2091,Guerrero
40,5,17,Matamoros,5_17,1,0.706,-1.18355,90839.46851,107160,Matamoros
41,5,1,Abasolo,5_1,NA,0.711,-1.17277,907.0383661,1070,Abasolo
42,5,38,Zaragoza,5_38,1,0.708,-1.14666,10767.47787,12702,Zaragoza
43,5,16,Lamadrid,5_16,NA,0.726,-1.34278,1555.528413,1835,Lamadrid
44,5,31,San Buenaventura,5_31,1,0.781,-1.56987,18775.69418,22149,San Buenaventura
45,5,29,Sacramento,5_29,NA,0.714,-1.21123,1961.576429,2314,Sacramento
46,5,13,Hidalgo,5_13,NA,0.687,-0.85719,1569.939303,1852,Hidalgo
47,5,36,Viesca,5_36,2,0.669,-0.71903,18072.10367,21319,Viesca
48,5,21,Nadadores,5_21,NA,0.744,-1.28995,5370.175747,6335,Nadadores
49,5,25,Piedras Negras,5_25,8,0.777,-1.51936,129533.5557,152806,Piedras Negras
50,5,11,General Cepeda,5_11,NA,0.674,-0.71811,9902.824479,11682,General Cepeda
51,5,8,Escobedo,5_8,NA,0.687,-0.98117,2459.175981,2901,Escobedo
52,5,24,Parras,5_24,NA,0.737,-1.14271,38486.4008,45401,Parras
53,5,6,Casta√±os,5_6,NA,0.76,-1.33822,21948.63306,25892,CastaÒos
54,5,23,Ocampo,5_23,NA,0.688,-0.56107,9317.064188,10991,Ocampo
55,5,19,Morelos,5_19,NA,0.755,-1.46978,6957.069038,8207,Morelos
56,5,28,Sabinas,5_28,1,0.769,-1.58033,51579.96585,60847,Sabinas
57,5,2,Acu√±a,5_2,6,0.753,-1.36712,115927.1325,136755,AcuÒa
58,5,3,Allende,5_3,NA,0.773,-1.50702,19221.58407,22675,Allende
59,5,5,Candela,5_5,NA,0.657,-0.99386,1532.640529,1808,Candela
60,5,4,Arteaga,5_4,1,0.669,-0.8739,19110.53544,22544,Arteaga
61,5,15,Ju√°rez,5_15,NA,0.671,-1.03923,1355.471353,1599,Ju·rez
62,5,37,Villa Uni√≥n,5_37,NA,0.709,-1.21063,5331.181574,6289,Villa UniÛn
63,5,32,San Juan de Sabinas,5_32,5,0.782,-1.57039,35305.83262,41649,San Juan de Sabinas
64,5,18,Monclova,5_18,5,0.806,-1.68882,183277.6981,216206,Monclova
65,5,34,Sierra Mojada,5_34,NA,0.724,-1.07769,5404.083723,6375,Sierra Mojada
66,5,7,Cuatro Ci√©negas,5_7,NA,0.725,-0.91007,11031.11239,13013,Cuatro CiÈnegas
67,5,14,Jim√©nez,5_14,5,0.65,-0.52064,8421.893614,9935,JimÈnez
68,5,27,Ramos Arizpe,5_27,1,0.775,-1.4612,63968.24499,75461,Ramos Arizpe
69,5,30,Saltillo,5_30,9,0.796,-1.65469,614686.3375,725123,Saltillo
70,6,10,Villa de √Ålvarez,6_10,4,0.837,-1.684,103297.2647,119956,Villa de ¡lvarez
71,6,5,Cuauht√©moc,6_5,3,0.746,-1.35262,23342.55022,27107,CuauhtÈmoc
72,6,2,Colima,6_2,11,0.802,-1.5029,126502.8959,146904,Colima
73,6,3,Comala,6_3,1,0.7,-0.91743,17987.20585,20888,Comala
74,6,1,Armer√≠a,6_1,14,0.689,-0.67531,24710.01876,28695,ArmerÌa
75,6,6,Ixtlahuac√°n,6_6,1,0.688,-0.73302,4563.969314,5300,Ixtlahuac·n
76,6,4,Coquimatl√°n,6_4,2,0.707,-0.97529,16692.93305,19385,Coquimatl·n
77,6,8,Minatitl√°n,6_8,NA,0.707,-1.05534,7038.846258,8174,Minatitl·n
78,6,7,Manzanillo,6_7,15,0.767,-1.33322,139003.005,161420,Manzanillo
79,6,9,Tecom√°n,6_9,19,0.702,-0.67442,97071.32167,112726,Tecom·n
80,7,23,Chamula,7_23,2,0.446,2.37362,48444.83244,76941,Chamula
81,7,87,Suchiate,7_87,NA,0.618,0.64852,22072.5237,35056,Suchiate
82,7,31,Chil√≥n,7_31,NA,0.532,1.918,70238.42734,111554,ChilÛn
83,7,97,Tonal√°,7_97,5,0.679,-0.41848,53263.43764,84594,Tonal·
84,7,4,Altamirano,7_4,NA,0.548,1.3076,18804.08262,29865,Altamirano
85,7,90,Tapalapa,7_90,NA,0.581,0.62494,2594.730436,4121,Tapalapa
86,7,50,La Libertad,7_50,NA,0.666,-0.21124,3131.810043,4974,La Libertad
87,7,99,La Trinitaria,7_99,NA,0.565,0.60006,45817.99056,72769,La Trinitaria
88,7,96,Tila,7_96,NA,0.535,1.27846,44976.16707,71432,Tila
89,7,108,Villaflores,7_108,1,0.651,-0.13943,62093.45454,98618,Villaflores
90,7,58,Nicol√°s Ru√≠z,7_58,NA,0.565,0.53375,2718.139115,4317,Nicol·s RuÌz
91,7,29,Chicoas√©n,7_29,NA,0.647,-0.37436,3159.514033,5018,ChicoasÈn
92,7,17,Cintalapa,7_17,1,0.66,-0.04261,49183.3956,78114,Cintalapa
